"accession","length","isolate","isolation_source","host","organism","genotype","country_original","country","country_code","collection_date_original","collection_date"
"LT964961","487","ISS 994/Guardavalle serum Italy 2017","human serum","Homo sapiens","Chikungunya virus","ECSA genotype","Italy:Calabria region, Guardavalle","Italy","ITA","2017-10-02","2017-10-02"
"LT964960","487","ISS 996/Guardavalle serum Italy 2017","human serum","Homo sapiens","Chikungunya virus","ECSA genotype","Italy:Calabria region, Guardavalle","Italy","ITA","2017-10-02","2017-10-02"
"LT964959","487","ISS 1002/Guardavalle serum Italy 2017","human serum","Homo sapiens","Chikungunya virus","ECSA genotype","Italy:Calabria region, Guardavalle","Italy","ITA","2017-10-02","2017-10-02"
"LT964958","487","ISS 1016/Guardavalle serum Italy 2017","human serum","Homo sapiens","Chikungunya virus","ECSA genotype","Italy:Calabria region, Guardavalle","Italy","ITA","2017-10-02","2017-10-02"
"LT964957","487","ISS 1011/Guardavalle serum Italy 2017","human serum","Homo sapiens","Chikungunya virus","ECSA genotype","Italy:Calabria region, Guardavalle","Italy","ITA","2017-10-02","2017-10-02"
"LT964956","487","ISS 1006/Guardavalle serum Italy 2017","human serum","Homo sapiens","Chikungunya virus","ECSA genotype","Italy:Calabria region, Guardavalle","Italy","ITA","2017-10-02","2017-10-02"
"LT964955","487","ISS 1005/Guardavalle serum Italy 2017","human serum","Homo sapiens","Chikungunya virus","ECSA genotype","Italy:Calabria region, Guardavalle","Italy","ITA","2017-10-02","2017-10-02"
"LT964954","487","ISS 972/Guardavalle serum Italy 2017","human serum","Homo sapiens","Chikungunya virus","ECSA genotype","Italy:Calabria region, Guardavalle","Italy","ITA","2017-09-27","2017-09-27"
"LT964953","487","ISS 974/Guardavalle serum Italy 2017","human serum","Homo sapiens","Chikungunya virus","ECSA genotype","Italy:Calabria region, Guardavalle","Italy","ITA","2017-09-27","2017-09-27"
"LT964952","487","ISS 977/Guardavalle serum Italy 2017","human serum","Homo sapiens","Chikungunya virus","ECSA genotype","Italy:Calabria region, Guardavalle","Italy","ITA","2017-10-02","2017-10-02"
"LT964951","487","ISS 979/Guardavalle serum Italy 2017","human serum","Homo sapiens","Chikungunya virus","ECSA genotype","Italy:Calabria region, Guardavalle","Italy","ITA","2017-10-02","2017-10-02"
"LT964950","487","ISS 981/Guardavalle serum Italy 2017","human serum","Homo sapiens","Chikungunya virus","ECSA genotype","Italy:Calabria region, Guardavalle","Italy","ITA","2017-10-06","2017-10-06"
"LT964949","487","ISS 987/Guardavalle serum Italy 2017","human serum","Homo sapiens","Chikungunya virus","ECSA genotype","Italy:Calabria region, Guardavalle","Italy","ITA","2017-09-30","2017-09-30"
"LT964948","487","ISS 994/Guardavalle serum Italy 2017","human serum","Homo sapiens","Chikungunya virus","ECSA genotype","Italy:Calabria region, Guardavalle","Italy","ITA","2017-10-02","2017-10-02"
"LT964947","487","ISS 989/Guardavalle serum Italy 2017","human serum","Homo sapiens","Chikungunya virus","ECSA genotype","Italy:Calabria region, Guardavalle","Italy","ITA","2017-09-30","2017-09-30"
"LT964946","487","ISS 990/Guardavalle serum Italy 2017","human serum","Homo sapiens","Chikungunya virus","ECSA genotype","Italy:Calabria region, Guardavalle","Italy","ITA","2017-10-02","2017-10-02"
"LT964945","487","ISS 991/Guardavalle serum Italy 2017","human serum","Homo sapiens","Chikungunya virus","ECSA genotype","Italy:Calabria region, Guardavalle","Italy","ITA","2017-10-02","2017-10-02"
"MA407076","1269","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"MA407075","1269","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"MA407074","1269","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"MA407073","1269","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"MA407072","1269","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"MA407071","1269","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"MA407070","1317","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"MA407069","1317","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"MA407068","1317","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"MA407067","1317","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"MA407066","1317","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"MA407065","1317","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"MH229986","11929","NA","viremic traveller from Mauritius to Australia in 2006","NA","Chikungunya virus","NA","Mauritius","Mauritius","MUS","2006","2006-XX-XX"
"MH358395","1270","2015-MH_Nasik285","NA","Homo sapiens","Chikungunya virus","NA","India","India","IND","2015","2015-XX-XX"
"MH347346","1317","2017-MH_Pune1732672","NA","Homo sapiens","Chikungunya virus","NA","India","India","IND","2017","2017-XX-XX"
"MH347345","1270","2017-MH_Pune1732672","NA","Homo sapiens","Chikungunya virus","NA","India","India","IND","NA",NA
"MH347344","1270","2015-KA_Blore5813","NA","Homo sapiens","Chikungunya virus","NA","India","India","IND","2015","2015-XX-XX"
"MH347343","1270","2015-KA_Blore5181","NA","Homo sapiens","Chikungunya virus","NA","India","India","IND","2015","2015-XX-XX"
"MH347342","1270","2016-MH_Pune-2","NA","Homo sapiens","Chikungunya virus","NA","India","India","IND","2016","2016-XX-XX"
"MH347341","1270","2015-KA_Blore9193","NA","Homo sapiens","Chikungunya virus","NA","India","India","IND","2015","2015-XX-XX"
"MH347340","1270","2015-KA_Blore9161","NA","Homo sapiens","Chikungunya virus","NA","India","India","IND","2015","2015-XX-XX"
"MF573011","1317","IND-2016-DL2","NA","Homo sapiens","Chikungunya virus","ESCA","India","India","IND","2016","2016-XX-XX"
"MF573010","1317","IND-2016-MH_Pune33","NA","Homo sapiens","Chikungunya virus","ESCA","India","India","IND","2016","2016-XX-XX"
"MF573009","1317","IND-2015-MH_Pune1517011","NA","Homo sapiens","Chikungunya virus","ESCA","India","India","IND","2015","2015-XX-XX"
"MF573008","1317","IND-2015-KA_Blore9193","NA","Homo sapiens","Chikungunya virus","ESCA","India","India","IND","2015","2015-XX-XX"
"MF573007","1317","IND-2015-KA_Blore9161","NA","Homo sapiens","Chikungunya virus","ESCA","India","India","IND","2015","2015-XX-XX"
"MF573006","1317","IND-2015-MH_Nasik285","NA","Homo sapiens","Chikungunya virus","ESCA","India","India","IND","2015","2015-XX-XX"
"MF573005","1317","IND-2015-MH_Nasik275","NA","Homo sapiens","Chikungunya virus","ESCA","India","India","IND","2015","2015-XX-XX"
"MF573004","1317","IND-2015-KA_Blore5181","NA","Homo sapiens","Chikungunya virus","ESCA","India","India","IND","2015","2015-XX-XX"
"MF573003","1317","IND-2015-KA_Blore5813","NA","Homo sapiens","Chikungunya virus","ESCA","India","India","IND","2015","2015-XX-XX"
"MF573002","1317","IND-2015-KA_Blore5460","NA","Homo sapiens","Chikungunya virus","ESCA","India","India","IND","2015","2015-XX-XX"
"MF573001","1317","IND-2015-KA_Blore5310","NA","Homo sapiens","Chikungunya virus","ESCA","India","India","IND","2015","2015-XX-XX"
"MF346359","1269","IND-2015-KA_Blore5310","Human Serum","Homo sapiens","Chikungunya virus","ESCA","India","India","IND","2015","2015-XX-XX"
"MF346358","1269","IND-2016-DL2","Human Serum","Homo sapiens","Chikungunya virus","ESCA","India","India","IND","2016","2016-XX-XX"
"MF346357","1269","IND-2016-MH_Pune33","Human Serum","Homo sapiens","Chikungunya virus","ESCA","India","India","IND","2016","2016-XX-XX"
"MF346356","1269","IND-2015-MH_Nasik275","Human Serum","Homo sapiens","Chikungunya virus","ESCA","India","India","IND","2015","2015-XX-XX"
"KX702402","12037","NA","plasma","Homo sapiens","Chikungunya virus","NA","Haiti","Haiti","HTI","09-Jun-2014","2014-06-09"
"KX702401","12037","NA","plasma","Homo sapiens","Chikungunya virus","NA","Haiti","Haiti","HTI","02-Jun-2014","2014-06-02"
"HZ468379","1092","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HZ468378","1092","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HZ468377","1092","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HZ468376","1797","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HZ468375","1797","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HZ468374","1797","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HZ468373","1797","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"LG064797","1092","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"LG064796","1092","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"LG064795","1092","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"LG064794","1797","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"LG064793","1797","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"LG064792","1797","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"LG064791","1797","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"KP702297","11171","Com5","NA","Homo sapiens","Chikungunya virus","NA","Comoros: Grande Island","Comoros","COM","2005","2005-XX-XX"
"HW642752","11234","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW642751","11234","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW642750","11234","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW642749","11234","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW642748","11234","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW642747","11234","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW642746","3747","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW642745","3747","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW642744","3747","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW642743","3747","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW642742","3747","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW642741","3747","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW642740","3747","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"DI233752","22","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"DI233751","24","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"DI233750","21","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"DI233749","28","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"DI233748","20","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"DI233747","26","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW249847","59","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW249846","60","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW249845","60","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW249844","60","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW249843","60","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW249842","60","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW249841","60","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW249840","60","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW249839","59","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW249838","59","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW249837","60","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW249836","59","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW249835","1161","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW249834","63","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW249833","63","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW249788","1092","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW249787","1092","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW249786","1092","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW249785","1092","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW249784","1797","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW249783","1767","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW249782","1797","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW249781","1797","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW249780","11237","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW249779","11601","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW249778","11598","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW249777","11601","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW249776","11601","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HW249775","11601","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HV955851","22","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HV955850","24","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HV955849","21","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HV955848","28","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HV955847","20","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"HV955846","26","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"4TU0_G","3","NA","NA","NA","synthetic construct","NA","NA",NA,NA,"NA",NA
"4TU0_F","3","NA","NA","NA","synthetic construct","NA","NA",NA,NA,"NA",NA
"PE044182","1317","NA","NA","NA","synthetic construct","NA","NA",NA,NA,"NA",NA
"PE044181","183","NA","NA","NA","synthetic construct","NA","NA",NA,NA,"NA",NA
"PE044180","1269","NA","NA","NA","synthetic construct","NA","NA",NA,NA,"NA",NA
"PE044179","194","NA","NA","NA","synthetic construct","NA","NA",NA,NA,"NA",NA
"PE044178","783","NA","NA","NA","synthetic construct","NA","NA",NA,NA,"NA",NA
"PE044177","3744","NA","NA","NA","synthetic construct","NA","NA",NA,NA,"NA",NA
"PE044176","8157","NA","NA","NA","synthetic construct","NA","NA",NA,NA,"NA",NA
"EF555200","956","VCRC-PCH1","blood serum of patient","NA","Chikungunya virus","NA","India: Puducherry","India","IND","NA",NA
"EF555199","957","VCRC-PCH3","blood serum of patient","NA","Chikungunya virus","NA","India: Puducherry","India","IND","NA",NA
"EF555198","946","VCRC-PCH2","blood serum of patient","NA","Chikungunya virus","NA","India: Puducherry","India","IND","NA",NA
"EF555197","933","VCRC-ACH4","blood serum of patient","NA","Chikungunya virus","NA","India: Alappuzha, Kerala","India","IND","NA",NA
"EF555196","954","VCRC-ACH3","blood serum of patient","NA","Chikungunya virus","NA","India: Alappuzha, Kerala","India","IND","NA",NA
"LY649478","22","NA","NA","NA","synthetic construct","NA","NA",NA,NA,"NA",NA
"LY649477","21","NA","NA","NA","synthetic construct","NA","NA",NA,NA,"NA",NA
"LY649476","18","NA","NA","NA","synthetic construct","NA","NA",NA,NA,"NA",NA
"LY649475","20","NA","NA","NA","synthetic construct","NA","NA",NA,NA,"NA",NA
"LY649474","17","NA","NA","NA","synthetic construct","NA","NA",NA,NA,"NA",NA
"LY649473","18","NA","NA","NA","synthetic construct","NA","NA",NA,NA,"NA",NA
"LS453285","487","Italy/Emilia Romagna-ISS-E1-GP/2007","serum","NA","Chikungunya virus","NA","Italy:Emilia Romagna","Italy","ITA","2007-08-20","2007-08-20"
"FJ457921","192","NA","NA","NA","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"AY549584","1125","chik DRC1730","NA","Homo sapiens","Chikungunya virus","NA","Democratic Republic of the Congo","Democratic Republic of the Congo","COD","NA",NA
"AY549582","1125","chik DRC1728","NA","Homo sapiens","Chikungunya virus","NA","Democratic Republic of the Congo","Democratic Republic of the Congo","COD","NA",NA
"AY549580","1125","chik DRC1720","NA","Homo sapiens","Chikungunya virus","NA","Democratic Republic of the Congo","Democratic Republic of the Congo","COD","NA",NA
"FJ445511","11719","SGEHICHD13508","serum","Homo sapiens","Chikungunya virus","NA","Singapore","Singapore","SGP","Jan-2008","2008-01-XX"
"FJ445510","11800","SGEHICHS277108","serum","Homo sapiens","Chikungunya virus","NA","Singapore","Singapore","SGP","Jan-2008","2008-01-XX"
"FJ445502","11717","SGEHICHD122508","serum","Homo sapiens","Chikungunya virus","NA","Singapore","Singapore","SGP","Aug-2008","2008-08-XX"
"FJ445484","11790","SGEHICHT077808","serum","Homo sapiens","Chikungunya virus","NA","Singapore","Singapore","SGP","May-2008","2008-05-XX"
"FJ445463","11729","SGEHICHD96808","serum","Homo sapiens","Chikungunya virus","NA","Singapore","Singapore","SGP","Jul-2008","2008-07-XX"
"FJ445445","11719","SGEHICHS425208","serum","Homo sapiens","Chikungunya virus","NA","Singapore","Singapore","SGP","Aug-2008","2008-08-XX"
"FJ445443","11714","SGEHICHS424108","serum","Homo sapiens","Chikungunya virus","NA","Singapore","Singapore","SGP","Aug-2008","2008-08-XX"
